Who offers the deposit products?	Deposit products are offered by U.S. Bank National Association.	1
Who offers the deposit products?	Our Home Equity Line of Credit has a variable rate which changes when the Prime Rate changes (as published in the Money Rates section of the Wall Street Journal).	0
Who offers the deposit products?	You can have up to three Fixed Rate Options in place at any time.	0
Who offers the deposit products?	Deposit products are offered by U.S. Bank National Association.	0
Where can I get deposit products?	Deposit products are offered by U.S. Bank National Association.	1
Where can I get deposit products?	Customers with a debt to income ratio above 43% do not have an early closure fee.	0
Where can I get deposit products?	Because of the competitive interest rates and potential tax advantages of home equity lines and loans, they're convenient ways to finance almost anything, including home improvements/repairs, education, purchasing a vehicle, buying a second property or consolidating higher-interest-rate balances.	0
Where can I get deposit products?	Our Home Equity Line of Credit has a variable rate which changes when the Prime Rate changes (as published in the Money Rates section of the Wall Street Journal).	0
Which major bank backs these programs?	Deposit products are offered by U.S. Bank National Association.	1
Which major bank backs these programs?	You can choose between interest plus principal payments on all terms (up to 20 years), or interest-only payments on a 5-year term.	0
Which major bank backs these programs?	Interest rates for home equity lines and loans are typically lower than for other forms of credit because your home is used as collateral – meaning the risk to a bank is less than with an unsecured loan.	0
Which major bank backs these programs?	You can lock in all or any part of your outstanding balance into a fixed interest rate at any time with our Fixed Rate Option.	0
Who offers home equity products?	Mortgage and home equity products are offered by U.S. Bank National Association.	1
Who offers home equity products?	Once you’ve signed the documents at closing, the funds will be available after a waiting period of three business days on accounts secured by a primary residence.	0
Who offers home equity products?	With the Fixed Rate Option, you can lock in a fixed rate on all or any portion of your variable balance at any time.	0
Who offers home equity products?	You can borrow as little or as much as you need, when you need it, up to your approved credit line.	0
What sorts of things does the U.S Bank National Association provide?	Mortgage and home equity products are offered by U.S. Bank National Association.	1
What sorts of things does the U.S Bank National Association provide?	Interest only repayment may be unavailable.	0
What sorts of things does the U.S Bank National Association provide?	Our Home Equity Installment Loan has a fixed rate.	0
What sorts of things does the U.S Bank National Association provide?	The credit limit is based on the amount of available equity.	0
What does U.S. Bank National Association offer?	Mortgage and home equity products are offered by U.S. Bank National Association.	1
What does U.S. Bank National Association offer?	You can choose between interest plus principal payments on all terms (up to 20 years), or interest-only payments on a 5-year term.	0
What does U.S. Bank National Association offer?	Our Home Equity Line of Credit has a variable rate which changes when the Prime Rate changes (as published in the Money Rates section of the Wall Street Journal).	0
What does U.S. Bank National Association offer?	Other restrictions may apply.	0
What kind of advisers can help you in this situation?	You should consult your tax and/or legal advisor for advice and information concerning your particular situation.	1
What kind of advisers can help you in this situation?	Interest on home equity lines and loans may be tax deductible.	0
What kind of advisers can help you in this situation?	This discount is already reflected in the rates displayed in our rate tool.	0
What kind of advisers can help you in this situation?	The Fixed Rate Option allows you to convert all or any portion of your line of credit balance into installment loans with a fixed rate and fixed payments.	0
Who should I talk to about my situation?	You should consult your tax and/or legal advisor for advice and information concerning your particular situation.	1
Who should I talk to about my situation?	You can choose between interest plus principal payments on all terms (up to 20 years), or interest-only payments on a 5-year term.	0
Who should I talk to about my situation?	The interest rate is fixed for the term of your loan, and repayments are made in monthly installments of principal and interest.	0
Who should I talk to about my situation?	Our Home Equity Installment Loan has a fixed rate.	0
Who should I speak to about taxes?	You should consult your tax and/or legal advisor for advice and information concerning your particular situation.	1
Who should I speak to about taxes?	The first Fixed Rate Option is free; after that, each one costs $50 to set up.	0
Who should I speak to about taxes?	You should consult your tax and/or legal advisor for advice and information concerning your particular situation.	0
Who should I speak to about taxes?	A Home Equity Line of Credit is a revolving line of credit secured by your home and is the most flexible type of home financing available.	0
What sort of advice is not provided by U.S. Bank?	U.S. Bank and its representatives do not provide tax or legal advice.	1
What sort of advice is not provided by U.S. Bank?	Once the 10-year draw period has expired, your entire outstanding line balance will be converted into a principal plus interest loan for the 20-year repayment period.	0
What sort of advice is not provided by U.S. Bank?	As with any U.S. Bank line of credit, interest rate options include variable (based on the Prime Rate) and fixed (with the Fixed Rate Option).	0
What sort of advice is not provided by U.S. Bank?	Our Home Equity Line of Credit has a variable rate which changes when the Prime Rate changes (as published in the Money Rates section of the Wall Street Journal).	0
Can I speak to a bank rep about my taxes?	U.S. Bank and its representatives do not provide tax or legal advice.	1
Can I speak to a bank rep about my taxes?	Repayment options may vary based on credit qualifications.	0
Can I speak to a bank rep about my taxes?	As you make payments to your installment loan(s), the available credit in your line is replenished.	0
Can I speak to a bank rep about my taxes?	Repayment options depend on the loan-to-value ratio.	0
Can you give me legal advice?	U.S. Bank and its representatives do not provide tax or legal advice.	1
Can you give me legal advice?	A Home Equity Line of Credit lets you access funds as you need them.	0
Can you give me legal advice?	The length of time to process the application varies depending on your situation.	0
Can you give me legal advice?	You should consult your tax and/or legal advisor for advice and information concerning your particular situation.	0
Do I need to insure my home during the life of the loan?	Property insurance is required.	1
Do I need to insure my home during the life of the loan?	Our Home Equity Line of Credit has a variable rate which changes when the Prime Rate changes (as published in the Money Rates section of the Wall Street Journal).	0
Do I need to insure my home during the life of the loan?	You can have up to three Fixed Rate Options in place at any time.	0
Do I need to insure my home during the life of the loan?	Our Home Equity Line of Credit has a variable rate which changes when the Prime Rate changes (as published in the Money Rates section of the Wall Street Journal).	0
Is property insurance required?	Property insurance is required.	1
Is property insurance required?	Your minimum monthly payment during the first 10 years is your choice of either 1% or 2% of the outstanding balance, or interest only*.	0
Is property insurance required?	This fee will be waived annually for borrowers with a Consumer Platinum Checking Package.	0
Is property insurance required?	Property insurance is required.	0
Is insurance mandatory?	Property insurance is required.	1
Is insurance mandatory?	Choosing an interest only repayment may cause your monthly payment to increase, possibly substantially, once your credit line transitions into the repayment period.	0
Is insurance mandatory?	You can borrow up to $750,000 (up to $1 million for properties in California) for a period of 30 years (10-year draw period and 20-year repayment period).	0
Is insurance mandatory?	The Fixed Rate Option allows you to convert all or any portion of your line of credit balance into installment loans with a fixed rate and fixed payments.	0
Is the interest rate fixed and will never change?	Interest rates and program terms are subject to change without notice.	1
Is the interest rate fixed and will never change?	Your minimum monthly payment during the first 10 years is your choice of either 1% or 2% of the outstanding balance, or interest only*.	0
Is the interest rate fixed and will never change?	This fee will be waived annually for borrowers with a Consumer Platinum Checking Package.	0
Is the interest rate fixed and will never change?	As you make payments to your installment loan(s), the available credit in your line is replenished.	0
Can the interest rates change?	Interest rates and program terms are subject to change without notice.	1
Can the interest rates change?	You can borrow as little as $15,000 or up to $750,000 (up to $1 million for properties in California), depending on your credit history, available equity in the property and your current monthly debt.	0
Can the interest rates change?	The first Fixed Rate Option is free; after that, each one costs $50 to set up.	0
Can the interest rates change?	U.S. Bank and its representatives do not provide tax or legal advice.	0
What two elements of one's loans can change without any previous notice?	Interest rates and program terms are subject to change without notice.	1
What two elements of one's loans can change without any previous notice?	Both the interest rate and monthly payments are fixed, ensuring you of a predictable repayment schedule for the life of the loan.	0
What two elements of one's loans can change without any previous notice?	You can borrow as little as $15,000 or up to $750,000 (up to $1 million for properties in California), depending on your credit history, available equity in the property and your current monthly debt.	0
What two elements of one's loans can change without any previous notice?	You may benefit from the security of fixed-rate payments on principal and interest for the life of the loan..	0
Are there any loan restrictions?	Not all loan programs are available in all states for all loan amounts.	1
Are there any loan restrictions?	Repayment options depend on the loan-to-value ratio.	0
